"","ID","PARAM","Date","Flow","SYM"
"30556","05BB001",1,"1993/07/20 00:00:00.000",72.5,""
"30557","05BB001",1,"1993/07/21 00:00:00.000",89.5,""
"30558","05BB001",1,"1993/07/22 00:00:00.000",95.7,""
"30559","05BB001",1,"1993/07/23 00:00:00.000",90,""
"30560","05BB001",1,"1993/07/24 00:00:00.000",84.2,""
"30561","05BB001",1,"1993/07/25 00:00:00.000",88.5,""
"30562","05BB001",1,"1993/07/26 00:00:00.000",87.4,""
"30563","05BB001",1,"1993/07/27 00:00:00.000",84.5,""
"30564","05BB001",1,"1993/07/28 00:00:00.000",80.8,""
"30565","05BB001",1,"1993/07/29 00:00:00.000",79.7,""
"30566","05BB001",1,"1993/07/30 00:00:00.000",85.2,""
"30567","05BB001",1,"1993/07/31 00:00:00.000",78.3,""
"30568","05BB001",1,"1993/08/01 00:00:00.000",68.9,""
"30569","05BB001",1,"1993/08/02 00:00:00.000",64.4,""
"30570","05BB001",1,"1993/08/03 00:00:00.000",62.2,""
"30571","05BB001",1,"1993/08/04 00:00:00.000",61.4,""
"30572","05BB001",1,"1993/08/05 00:00:00.000",60.3,""
"30573","05BB001",1,"1993/08/06 00:00:00.000",64.2,""
"30574","05BB001",1,"1993/08/07 00:00:00.000",71.3,""
"30575","05BB001",1,"1993/08/08 00:00:00.000",71,""
"30576","05BB001",1,"1993/08/09 00:00:00.000",65.3,""
"30577","05BB001",1,"1993/08/10 00:00:00.000",62.9,""
"30578","05BB001",1,"1993/08/11 00:00:00.000",64.5,""
"30579","05BB001",1,"1993/08/12 00:00:00.000",59.8,""
"30580","05BB001",1,"1993/08/13 00:00:00.000",55.2,""
"30581","05BB001",1,"1993/08/14 00:00:00.000",53.6,""
"30582","05BB001",1,"1993/08/15 00:00:00.000",57.3,""
"30583","05BB001",1,"1993/08/16 00:00:00.000",57.8,""
"30584","05BB001",1,"1993/08/17 00:00:00.000",57.8,""
"30585","05BB001",1,"1993/08/18 00:00:00.000",57.5,""
"30586","05BB001",1,"1993/08/19 00:00:00.000",57.2,""
"30587","05BB001",1,"1993/08/20 00:00:00.000",56.8,""
"30588","05BB001",1,"1993/08/21 00:00:00.000",61.7,""
"30589","05BB001",1,"1993/08/22 00:00:00.000",64.7,""
"30590","05BB001",1,"1993/08/23 00:00:00.000",63.4,""
"30591","05BB001",1,"1993/08/24 00:00:00.000",74.2,""
"30592","05BB001",1,"1993/08/25 00:00:00.000",67.5,""
"30593","05BB001",1,"1993/08/26 00:00:00.000",61.7,""
"30594","05BB001",1,"1993/08/27 00:00:00.000",56.8,""
"30595","05BB001",1,"1993/08/28 00:00:00.000",57,""
"30596","05BB001",1,"1993/08/29 00:00:00.000",57.5,""
"30597","05BB001",1,"1993/08/30 00:00:00.000",53.5,""
"30598","05BB001",1,"1993/08/31 00:00:00.000",50.4,""
"30599","05BB001",1,"1993/09/01 00:00:00.000",49.4,""
"30600","05BB001",1,"1993/09/02 00:00:00.000",48.3,""
"30601","05BB001",1,"1993/09/03 00:00:00.000",47.3,""
"30602","05BB001",1,"1993/09/04 00:00:00.000",47.8,""
